,Michael Jordan
Games played,"[82.0, 18.0, 82.0, 82.0, 81.0, 82.0, 82.0, 80.0, 78.0, 17.0, 82.0, 82.0, 82.0, 60.0, 82.0]"
Games started,"[82.0, 7.0, 82.0, 82.0, 81.0, 82.0, 82.0, 80.0, 78.0, 17.0, 82.0, 82.0, 82.0, 53.0, 67.0]"
Minutes per game,"[38.3, 25.1, 40.0, 40.4, 40.2, 39.0, 37.0, 38.8, 39.3, 39.3, 37.7, 37.9, 38.8, 34.9, 37.0]"
Field goal percentage,"[0.515, 0.457, 0.482, 0.535, 0.538, 0.526, 0.539, 0.519, 0.495, 0.411, 0.495, 0.486, 0.465, 0.416, 0.445]"
3-point field-goal percentage,"[0.173, 0.167, 0.182, 0.132, 0.276, 0.376, 0.312, 0.27, 0.352, 0.5, 0.427, 0.374, 0.238, 0.189, 0.291]"
Free-throw percentage,"[0.845, 0.84, 0.857, 0.841, 0.85, 0.848, 0.851, 0.832, 0.837, 0.801, 0.834, 0.833, 0.784, 0.79, 0.821]"
Rebounds per game,"[6.5, 3.6, 5.2, 5.5, 8.0, 6.9, 6.0, 6.4, 6.7, 6.9, 6.6, 5.9, 5.8, 5.7, 6.1]"
Assists per game,"[5.9, 2.9, 4.6, 5.9, 8.0, 6.3, 5.5, 6.1, 5.5, 5.3, 4.3, 4.3, 3.5, 5.2, 3.8]"
Steals per game,"[2.4, 2.1, 2.9, 3.2, 2.9, 2.8, 2.7, 2.3, 2.8, 1.8, 2.2, 1.7, 1.7, 1.4, 1.5]"
Blocks per game,"[0.8, 1.2, 1.5, 1.6, 0.8, 0.7, 1.0, 0.9, 0.8, 0.8, 0.5, 0.5, 0.5, 0.4, 0.5]"
Points per game,"[28.2, 22.7, 37.1, 35.0, 32.5, 33.6, 31.5, 30.1, 32.6, 26.9, 30.4, 29.6, 28.7, 22.9, 20.0]"
